step,error,relay_state
0.0,-0.08726646234623688,0.22
1.0,-0.08721494099504133,0.22
2.0,-0.08710020902949761,0.22
3.0,-0.08697197086351491,0.22
4.0,-0.08678165098634229,0.22
5.0,-0.08646017814357632,0.22
6.0,-0.08597211852561827,0.22
7.0,-0.08528180125922823,0.22
8.0,-0.08436564092498622,0.22
9.0,-0.08319933606536806,0.22
10.0,-0.08174743682536467,0.22
11.0,-0.07998618200324606,0.22
12.0,-0.07790383066368038,0.22
13.0,-0.07547658265563213,0.22
14.0,-0.07268042094858583,0.22
15.0,-0.06950343888930856,0.22
16.0,-0.0659338192234157,0.22
17.0,-0.06195953216350982,0.22
18.0,-0.05756869409847332,0.22
19.0,-0.05274942537106076,0.22
20.0,-0.0474898516539243,0.22
21.0,-0.041789966355039045,0.22
22.0,-0.03563785143249487,0.22
23.0,-0.02902160713492203,0.22
24.0,-0.021941210834532546,0.22
25.0,-0.014384774784621806,0.22
26.0,-0.0063522858909055065,0.22
27.0,0.002168158147647051,0.22
28.0,0.011164640780634325,-0.22
29.0,0.020446751206895507,-0.22
30.0,0.029859735404504748,-0.22
31.0,0.0392368456704804,-0.22
32.0,0.04846089402366721,-0.22
33.0,0.05746215733643744,-0.22
34.0,0.06618768565644792,-0.22
35.0,0.07470595947928936,-0.22
36.0,0.08286929315136721,-0.22
37.0,0.09063985990512312,-0.22
38.0,0.09799372095155773,-0.22
39.0,0.10490732522519758,-0.22
40.0,0.11135682495268065,-0.22
41.0,0.1173420585712995,-0.22
42.0,0.12283902481829793,-0.22
43.0,0.12783628963365828,-0.22
44.0,0.13233386865963878,-0.22
45.0,0.13633161666105087,-0.22
46.0,0.13981779726755011,-0.22
47.0,0.14278052803886432,-0.22
48.0,0.14523188475798438,-0.22
49.0,0.14715897197012065,-0.22
50.0,0.14856247797198815,-0.22
51.0,0.14944216972298316,-0.22
52.0,0.14979861409595385,-0.22
53.0,0.1496315809633025,-0.22
54.0,0.14894135932510405,-0.22
55.0,0.14771549090720718,-0.22
56.0,0.14596564033414186,-0.22
57.0,0.1436809321849434,-0.22
58.0,0.14087255014581346,-0.22
59.0,0.13752876395300026,-0.22
60.0,0.1336615473492783,-0.22
61.0,0.12925873286674125,-0.22
62.0,0.12432009869910196,-0.22
63.0,0.11885797663504087,-0.22
64.0,0.11286048065483117,-0.22
65.0,0.10632758521384617,-0.22
66.0,0.09927115081938906,-0.22
67.0,0.09167926826302834,-0.22
68.0,0.08356364653627243,-0.22
69.0,0.07491249151745887,-0.22
70.0,0.0657256598689884,-0.22
71.0,0.056015170723360694,-0.22
72.0,0.04576913679530273,-0.22
73.0,0.034999649341828115,-0.22
74.0,0.02369463693035215,-0.22
75.0,0.011866052346003015,-0.22
76.0,-0.0004979126615861688,-0.22
77.0,-0.013397268425895802,0.22
78.0,-0.026593951390575826,0.22
79.0,-0.03992135142015274,0.22
80.0,-0.05321257732967042,0.22
81.0,-0.06634216183279984,0.22
82.0,-0.07923405698076298,0.22
83.0,-0.0918338378662497,0.22
84.0,-0.10420529352232533,0.22
85.0,-0.11620991710570727,0.22
86.0,-0.12779787241192012,0.22
87.0,-0.13894518395783056,0.22
88.0,-0.149639767089201,0.22
89.0,-0.1598462984282855,0.22
90.0,-0.16956472842980685,0.22
91.0,-0.17878296732971122,0.22
92.0,-0.18748912101110055,0.22
93.0,-0.19568363648599235,0.22
94.0,-0.20335465416843648,0.22
95.0,-0.2105024617510953,0.22
96.0,-0.2171270009158695,0.22
97.0,-0.22321590817389805,0.22
98.0,-0.22876958545248616,0.22
99.0,-0.23380007310352355,0.22
100.0,-0.23829531022993977,0.22
101.0,-0.24225479343026626,0.22
102.0,-0.24567911087585148,0.22
103.0,-0.24856783596634735,0.22
104.0,-0.25092118993325435,0.22
105.0,-0.25273868049772436,0.22
106.0,-0.25401854764909143,0.22
107.0,-0.2547585395076371,0.22
108.0,-0.25495914411394155,0.22
109.0,-0.2546354427720963,0.22
110.0,-0.2537717729669901,0.22
111.0,-0.252381464298378,0.22
112.0,-0.25045462820686554,0.22
113.0,-0.24799259285502745,0.22
114.0,-0.24499547400568714,0.22
115.0,-0.24146325030546884,0.22
116.0,-0.23738406798405542,0.22
117.0,-0.23276993478587057,0.22
118.0,-0.2276213975508283,0.22
119.0,-0.22193838128952317,0.22
120.0,-0.215721105634917,0.22
121.0,-0.20896886499412962,0.22
122.0,-0.2016933579716179,0.22
123.0,-0.19388348232856376,0.22
124.0,-0.18553902661047098,0.22
125.0,-0.1766600582840658,0.22
126.0,-0.16724688371734112,0.22
127.0,-0.15729893673284584,0.22
128.0,-0.14681621889573002,0.22
129.0,-0.13579933092359922,0.22
130.0,-0.12424790873782711,0.22
131.0,-0.11217410601364834,0.22
132.0,-0.0995659068665707,0.22
133.0,-0.08642311484219935,0.22
134.0,-0.07274627417110173,0.22
135.0,-0.058547116052067305,0.22
136.0,-0.04381393533904273,0.22
137.0,-0.02854669716832723,0.22
138.0,-0.012745581039990688,0.22
139.0,0.0035774209955534457,-0.22
140.0,0.020208440220638082,-0.22
141.0,0.03696923482171849,-0.22
142.0,0.05369330128700258,-0.22
143.0,0.07025587912613832,-0.22
144.0,0.08657986432775731,-0.22
145.0,0.10260992339570953,-0.22
146.0,0.11841344041600604,-0.22
147.0,0.13385027007653078,-0.22
148.0,0.1488702459453602,-0.22
149.0,0.16344995407360702,-0.22
150.0,0.17757757145267566,-0.22
151.0,0.1912178202436917,-0.22
152.0,0.20437035122453345,-0.22
153.0,0.21702326391145657,-0.22
154.0,0.22916511683657606,-0.22
155.0,0.24079538023487573,-0.22
156.0,0.2519025617516286,-0.22
157.0,0.26248699148254284,-0.22
158.0,0.2725480596880617,-0.22
159.0,0.2820877025498211,-0.22
160.0,0.29109199696456284,-0.22
161.0,0.2995626073689143,-0.22
162.0,0.3074983531676895,-0.22
163.0,0.3149007945178793,-0.22
164.0,0.3217687144846937,-0.22
165.0,0.32810233286033436,-0.22
166.0,0.3339126523035048,-0.22
167.0,0.3391888405880647,-0.22
168.0,0.3439299953309968,-0.22
169.0,0.3481346410724826,-0.22
170.0,0.35180304746526325,-0.22
171.0,0.35494493609186106,-0.22
172.0,0.3575446613484769,-0.22
173.0,0.3596226517647944,-0.22
174.0,0.36116806023476594,-0.22
175.0,0.3621801126459794,-0.22
176.0,0.3626582405471326,-0.22
177.0,0.3626119047481971,-0.22
178.0,0.36203905985049284,-0.22
179.0,0.3609343152705034,-0.22
180.0,0.35929636116370356,-0.22
181.0,0.35713053856729465,-0.22
182.0,0.35443400542450004,-0.22
183.0,0.3512104387435002,-0.22
184.0,0.3474621852193073,-0.22
185.0,0.3431799339441785,-0.22
186.0,0.33837742289180855,-0.22
187.0,0.33304293238719695,-0.22
188.0,0.3271767373875625,-0.22
189.0,0.32077922429729677,-0.22
190.0,0.3138630376589433,-0.22
191.0,0.3064161530941302,-0.22
192.0,0.29843922975284276,-0.22
193.0,0.28994375528374117,-0.22
194.0,0.2809189793438409,-0.22
195.0,0.2713641597032491,-0.22
196.0,0.26128024419369916,-0.22
197.0,0.25067821627128756,-0.22
198.0,0.2395473345862039,-0.22
199.0,0.2278873342221457,-0.22
200.0,0.21571028459606553,-0.22
201.0,0.20300451602862896,-0.22
202.0,0.18977004362657085,-0.22
203.0,0.17601873162972934,-0.22
204.0,0.16173905926694884,-0.22
205.0,0.14693115150355188,-0.22
206.0,0.13160708129584528,-0.22
207.0,0.11575536077258324,-0.22
208.0,0.09938820520313726,-0.22
