episode_idx,seed,total_reward,steps,landed,crashed,truncated,out_of_bounds,impact_speed,lateral_dist,final_h_agl
0,0,-1362.0211992263794,90,False,True,False,False,11.818347930908203,11.753345489501953,0.30221864581108093
1,1,-2621.9161682128906,91,False,True,False,False,10.485445976257324,25.85737419128418,0.28157174587249756
2,2,-2692.2720527648926,92,False,True,False,False,11.206868171691895,26.45060157775879,0.28674253821372986
3,3,-2723.863582611084,94,False,True,False,False,10.876443862915039,25.682126998901367,0.28800082206726074
4,4,-3412.9676361083984,102,False,True,False,False,12.353182792663574,31.5328369140625,0.3498004674911499
5,5,-2347.3226795196533,103,False,True,False,False,11.521865844726562,21.6369571685791,0.2614499032497406
6,6,-2450.684467315674,103,False,True,False,False,12.246871948242188,20.479549407958984,0.279388964176178
7,7,-2528.40993309021,108,False,True,False,False,11.74518871307373,18.935922622680664,0.33112841844558716
8,8,-2558.8919830322266,109,False,True,False,False,11.735701560974121,21.726408004760742,0.3173813819885254
9,9,-2974.975601196289,111,False,True,False,False,11.771925926208496,24.14993667602539,0.3260767459869385
10,10,-3279.767364501953,113,False,True,False,False,9.950047492980957,26.883939743041992,0.29269924759864807
11,11,-2614.337635040283,115,False,True,False,False,10.839094161987305,20.862756729125977,0.3026565611362457
12,12,-2213.165002822876,119,False,True,False,False,12.268837928771973,14.914066314697266,0.28484225273132324
13,13,-1734.4696168899536,119,False,True,False,False,13.622596740722656,10.25723934173584,0.2942597568035126
14,14,-2325.3285846710205,121,False,True,False,False,9.770236015319824,17.04231071472168,0.32220563292503357
15,15,-1844.6310968399048,122,False,True,False,False,13.142099380493164,12.68952751159668,0.2445027381181717
16,16,-2571.3242473602295,123,False,True,False,False,9.741864204406738,18.783008575439453,0.30423614382743835
17,17,-2604.020631790161,124,False,True,False,False,10.684552192687988,18.817075729370117,0.3204158842563629
18,18,-1231.4615716934204,124,False,True,False,False,9.580354690551758,7.588284969329834,0.2741857171058655
19,19,-3225.1547451019287,125,False,True,False,False,13.802351951599121,20.58118438720703,0.2467566579580307
20,20,-3028.2744331359863,125,False,True,False,False,9.88489055633545,22.640594482421875,0.3017093539237976
21,21,-4089.842414855957,126,False,True,False,False,10.125506401062012,31.123271942138672,0.3451029360294342
22,22,-3249.6086196899414,126,False,True,False,False,14.061766624450684,22.392955780029297,0.3026731610298157
23,23,-2672.7787113189697,126,False,True,False,False,14.12331485748291,17.91434097290039,0.3284865617752075
24,24,-1769.4728136062622,127,False,True,False,False,10.602569580078125,11.789043426513672,0.2970830798149109
25,25,-2543.291482925415,127,False,True,False,False,11.564447402954102,15.691361427307129,0.26507434248924255
26,26,-2909.2981395721436,128,False,True,False,False,11.514371871948242,21.38029670715332,0.3054763674736023
27,27,-2453.883882522583,128,False,True,False,False,13.042388916015625,15.515006065368652,0.29240426421165466
28,28,-3008.012550354004,128,False,True,False,False,11.825804710388184,21.823402404785156,0.34772762656211853
29,29,-3386.2455558776855,129,False,True,False,False,13.328638076782227,22.8559513092041,0.32136064767837524
30,30,-2273.6175079345703,129,False,True,False,False,12.013301849365234,15.304648399353027,0.2759503424167633
31,31,-987.0739560127258,129,False,True,False,False,12.631657600402832,1.4072381258010864,0.33055493235588074
32,32,-2226.0077962875366,129,False,True,False,False,12.633442878723145,12.231539726257324,0.26579055190086365
33,33,-2230.1814365386963,130,False,True,False,False,11.058974266052246,15.373809814453125,0.3074473440647125
34,34,-2892.262981414795,131,False,True,False,False,10.837124824523926,19.343290328979492,0.26218724250793457
35,35,-2672.0102672576904,132,False,True,False,False,11.305376052856445,17.311445236206055,0.2584627568721771
36,36,-1760.3888244628906,133,False,True,False,False,11.153924942016602,10.53304386138916,0.33959418535232544
37,37,-1164.0352420806885,133,False,True,False,False,12.791707038879395,2.577540874481201,0.34528252482414246
38,38,-3722.5885162353516,135,False,True,False,False,10.53669548034668,25.822118759155273,0.3237694501876831
39,39,-1365.4730262756348,135,False,True,False,False,9.955315589904785,8.637560844421387,0.2864684760570526
40,40,-3061.330711364746,135,False,True,False,False,10.669387817382812,21.5257625579834,0.3142264485359192
41,41,-2857.473165512085,138,False,True,False,False,11.340167045593262,17.808773040771484,0.3381446301937103
42,42,-1962.1021585464478,139,False,True,False,False,10.164814949035645,13.161410331726074,0.2996180057525635
43,43,-2369.3560791015625,140,False,True,False,False,10.216012954711914,14.718647956848145,0.28451061248779297
44,44,-1871.3984985351562,140,False,True,False,False,11.039018630981445,10.175017356872559,0.28743070363998413
45,45,-1664.8853149414062,142,False,True,False,False,12.312600135803223,7.270598888397217,0.3357003331184387
46,46,-3168.503875732422,142,False,True,False,False,13.724820137023926,17.199871063232422,0.2655383348464966
47,47,-2673.1324577331543,143,False,True,False,False,8.233474731445312,17.301319122314453,0.3222264349460602
48,48,-3328.827402114868,143,False,True,False,False,10.75187873840332,19.53656768798828,0.33182239532470703
49,49,-3130.0565223693848,145,False,True,False,False,11.106358528137207,19.6508846282959,0.3372526168823242
50,50,-2802.4315910339355,145,False,True,False,False,12.34465503692627,16.36151123046875,0.3299213647842407
51,51,-3245.4724407196045,145,False,True,False,False,12.067480087280273,19.144298553466797,0.3467681407928467
52,52,-3273.206304550171,145,False,True,False,False,11.239437103271484,19.66887855529785,0.271959125995636
53,53,-3636.021997451782,146,False,True,False,False,13.236114501953125,19.037508010864258,0.30918022990226746
54,54,-2842.8379650115967,146,False,True,False,False,12.419971466064453,18.650100708007812,0.2924514710903168
55,55,-3198.332509994507,146,False,True,False,False,10.761053085327148,19.394039154052734,0.28579115867614746
56,56,-3624.3343448638916,147,False,True,False,False,12.7073335647583,21.34757423400879,0.2865939438343048
57,57,-2960.7366104125977,148,False,True,False,False,11.20188045501709,17.592060089111328,0.3307197690010071
58,58,-2155.8529596328735,149,False,True,False,False,12.245797157287598,11.585596084594727,0.2742205858230591
59,59,-2831.4548873901367,151,False,True,False,False,11.662626266479492,15.945793151855469,0.31674712896347046
60,60,-3363.479747772217,151,False,True,False,False,8.91656494140625,19.6833553314209,0.31269556283950806
61,61,-1285.894094467163,151,False,True,False,False,10.993663787841797,3.9608709812164307,0.3014999330043793
62,62,-4103.984258651733,152,False,True,False,False,12.646075248718262,24.454635620117188,0.30186134576797485
63,63,-3543.2244396209717,153,False,True,False,False,11.382180213928223,20.807241439819336,0.32630455493927
64,64,-2791.377576828003,154,False,True,False,False,12.824974060058594,16.556535720825195,0.27744466066360474
